# 词语评测集：取自改版前基础词库里最常用的 400 个多音节词，固定下来以后，词库扩充不会改变样本。
# 每行为“拼音<TAB>词语”。
yi ge	一个
mei you	没有
wo men	我们
ke yi	可以
shen me	什么
zhe ge	这个
he he	呵呵
xian zai	现在
zi ji	自己
jiu shi	就是
hui fu ri qi	回复日期
bu shi	不是
zen me	怎么
hai shi	还是
ta men	他们
ru guo	如果
zhi dao	知道
shi hou	时候
wen ti	问题
zhe yang	这样
yi jing	已经
ha ha	哈哈
yin wei	因为
gong si	公司
na ge	那个
jin tian	今天
gong zuo	工作
zhong guo	中国
dan shi	但是
bu guo	不过
ke neng	可能
ying gai	应该
suo yi	所以
ni men	你们
yi xia	一下
shi jian	时间
dou shi	都是
hai you	还有
jin xing	进行
jue de	觉得
xu yao	需要
bu neng	不能
kai shi	开始
dong xi	东西
na me	那么
zhe me	这么
xi huan	喜欢
bi jiao	比较
ran hou	然后
yi xie	一些
bu hui	不会
da jia	大家
hen duo	很多
kan dao	看到
bu yao	不要
yi yang	一样
zhe xie	这些
ye shi	也是
gan jue	感觉
kan kan	看看
qi shi	其实
chu lai	出来
peng you	朋友
ming tian	明天
yi hou	以后
zhi shi	只是
zhe li	这里
er qie	而且
xi tong	系统
tong guo	通过
yi ding	一定
shi yong	使用
yi qi	一起
qi ye	企业
huo zhe	或者
fa zhan	发展
shi chang	市场
yi zhi	一直
bei jing	北京
qi ta	其他
hao xiang	好像
chan pin	产品
zhe zhong	这种
shi qing	事情
de ren	的人
wei shen me	为什么
fa xian	发现
di fang	地方
xi wang	希望
zhi you	只有
qing kuang	情况
yao qiu	要求
dian hua	电话
xin xi	信息
duo shao	多少
ti gong	提供
yi ban	一般
xie xie	谢谢
hui lai	回来
zhu yao	主要
bu cuo	不错
sheng huo	生活
shang hai	上海
mu qian	目前
zhi jie	直接
suo you	所有
wan shang	晚上
ji shu	技术
fang mian	方面
chu xian	出现
sui ran	虽然
wei le	为了
zhi chi	支持
jia ge	价格
mei guo	美国
shi bu shi	是不是
wo de	我的
xuan ze	选择
yi qian	以前
xiang mu	项目
fei chang	非常
li mian	里面
bie ren	别人
guo jia	国家
ni de	你的
yi ji	以及
tong shi	同时
dui yu	对于
liang ge	两个
zhun bei	准备
guan li	管理
yi dian	一点
ken ding	肯定
zhe shi	这是
ren wei	认为
zuo tian	昨天
fu wu	服务
cheng wei	成为
zui hou	最后
wang zhan	网站
na li	哪里
qi lai	起来
zuo wei	作为
zhi hou	之后
ji xu	继续
shou ji	手机
zhen de	真的
bu tong	不同
yong hu	用户
you yu	由于
jie guo	结果
gu ji	估计
zui jin	最近
ying xiang	影响
xue xiao	学校
hai zi	孩子
hao de	好的
she ji	设计
ren wu	任务
guan xi	关系
bu fen	部分
huo dong	活动
bi xu	必须
wang luo	网络
yan jiu	研究
dang ran	当然
ru he	如何
na xie	那些
gong neng	功能
ke shi	可是
xue sheng	学生
shu ju	数据
gao su	告诉
gei wo	给我
fang shi	方式
nei rong	内容
na li	那里
yi ci	一次
nv ren	女人
dian nao	电脑
shi fou	是否
yi si	意思
lian xi	联系
you xi	游戏
lao shi	老师
te bie	特别
zhi yao	只要
ge ren	个人
wen jian	文件
neng gou	能够
you dian	有点
ruan jian	软件
ji ge	几个
guo qu	过去
xue xi	学习
she hui	社会
guo lai	过来
gei ni	给你
nan ren	男人
liao jie	了解
zhi neng	只能
chi fan	吃饭
shi jie	世界
bu hao	不好
bu yong	不用
de hua	的话
biao shi	表示
hei hei	嘿嘿
fa sheng	发生
de dao	得到
chu li	处理
ji ben	基本
tong xue	同学
lao po	老婆
zhao pian	照片
ke hu	客户
fang fa	方法
wan cheng	完成
guan yu	关于
you xie	有些
dang shi	当时
gang cai	刚才
shi xian	实现
yuan lai	原来
bao kuo	包括
jie jue	解决
zhong de	中的
yi zhong	一种
fan zheng	反正
